// BackpropagationAlgorithm 2-15-3
// EpochCount = 6000;
// UseBias = true;
// LearningRate = 0.1D;
// ActivationFunction = Registry.ActivationFunctions.Logistic(1);
// RandomizeInitialWeights = true;
//                   ERROR: 1.71% (12/700)
f1,f2,_class,_value,_training
1.8497,1.0454,Green,1,1
1.5244,-0.2235,Red,2,1
1.8048,-0.2137,Red,2,1
1.6649,-0.0788,Red,2,1
1.797,0.0207,Red,2,1
1.7538,0.0317,Red,2,1
1.5167,-0.2499,Red,2,1
1.9144,0.1644,Red,2,1
1.336,-0.2212,Red,2,1
1.7804,-0.0372,Red,2,1
1.6187,-0.0458,Red,2,1
1.4297,-0.0799,Red,2,1
1.6211,-0.2212,Red,2,1
2.1229,0.178,Red,2,1
1.8097,-0.02,Red,2,1
1.3169,-0.0282,Red,2,1
1.6094,0.3544,Red,2,1
1.9614,-0.2793,Red,2,1
1.3726,-0.0728,Red,2,1
1.6044,0.2393,Red,2,1
1.3211,-0.1727,Red,2,1
1.4436,-0.0063,Red,2,1
1.4006,0.1642,Red,2,1
1.7617,0.0247,Red,2,1
1.6909,-0.016,Red,2,1
1.6997,-0.0834,Red,2,1
1.5973,-0.3677,Red,2,1
1.2273,-0.366,Red,2,1
1.3253,0.3638,Red,2,1
1.5314,0.1349,Red,2,1
1.6054,-0.0513,Red,2,1
1.7587,-0.2255,Red,2,1
1.4685,0.2831,Red,2,1
1.4837,0.0235,Red,2,1
1.5123,0.2264,Red,2,1
1.4928,-0.4125,Red,2,1
1.3438,-0.1194,Red,2,1
1.8519,0.271,Red,2,1
1.6454,-0.0498,Red,2,1
1.6348,0.1517,Red,2,1
1.7592,0.313,Red,2,1
1.5574,0.2572,Red,2,1
1.608,-0.0771,Red,2,1
1.1536,0.2623,Red,2,1
1.5473,-0.1213,Red,2,1
1.5023,0.0342,Red,2,1
1.2532,-0.0141,Red,2,1
1.4868,-0.0367,Red,2,1
1.6257,0.5356,Red,2,1
1.5999,-0.0767,Red,2,1
1.5974,0.1177,Red,2,1
1.658,-0.161,Red,2,1
1.4802,-0.0229,Red,2,1
1.2491,0.0611,Red,2,1
1.6071,0.154,Red,2,1
1.2218,-0.1018,Red,2,1
1.4521,-0.4438,Red,2,1
1.8592,-0.2808,Red,2,1
1.6112,-0.1161,Red,2,1
1.5319,0.3248,Red,2,1
1.3374,0.2868,Red,2,1
1.4824,-0.1696,Red,2,1
1.5189,-0.1017,Red,2,1
1.7357,-0.1304,Red,2,1
1.7064,0.2138,Red,2,1
1.1308,0.4587,Red,2,1
1.7361,-0.0537,Red,2,1
1.6677,-0.0374,Red,2,1
1.7535,0.0653,Red,2,1
1.6537,-0.1624,Red,2,1
1.65,0.0299,Red,2,1
1.5354,-0.2427,Red,2,1
1.5998,-0.0122,Red,2,1
1.4745,0.1542,Red,2,1
1.3997,0.0317,Red,2,1
1.7197,-0.0272,Red,2,1
1.5551,-0.134,Red,2,1
1.7526,-0.2046,Red,2,1
1.5162,-0.2702,Red,2,1
1.5426,-0.4819,Red,2,1
1.035,0.0793,Red,2,1
1.333,-0.2998,Red,2,1
1.6065,0.0931,Red,2,1
1.8095,-0.1288,Red,2,1
1.731,-0.4835,Red,2,1
1.3878,-0.0435,Red,2,1
1.5083,0.0055,Red,2,1
1.5986,0.2097,Red,2,1
1.4041,0.1235,Red,2,1
1.9195,-0.3549,Red,2,1
1.6917,0.1746,Red,2,1
1.5268,-0.1322,Red,2,1
1.6616,0.065,Red,2,1
1.2236,0.1147,Red,2,1
1.6219,0.2429,Red,2,1
1.973,0.3499,Red,2,1
1.6787,-0.1882,Red,2,1
1.8433,0.3968,Red,2,1
1.6579,0.2985,Red,2,1
1.7339,0.2073,Red,2,1
1.5324,-0.113,Red,2,1
1.7498,2.275,Red,2,1
1.5951,1.9606,Red,2,1
1.4503,2.0369,Red,2,1
1.6917,1.8598,Red,2,1
1.4473,2.199,Red,2,1
1.4404,1.9155,Red,2,1
1.5684,1.7109,Red,2,1
1.9102,1.9594,Red,2,1
1.8553,1.9698,Red,2,1
1.0162,1.6844,Red,2,1
1.4551,2.1816,Red,2,1
1.5301,2.129,Red,2,1
1.6516,1.954,Red,2,1
1.2957,2.0934,Red,2,1
1.3496,2.0489,Red,2,1
1.7144,1.8657,Red,2,1
1.4432,1.8758,Red,2,1
1.8564,2.1239,Red,2,1
0.9638,1.8798,Red,2,1
1.4067,1.8094,Red,2,1
1.4973,2.1766,Red,2,1
1.6776,2.0676,Red,2,1
1.5145,2.0301,Red,2,1
1.2751,2.0173,Red,2,1
1.4153,1.5851,Red,2,1
1.5568,2.4595,Red,2,1
1.2917,1.7755,Red,2,1
1.4572,1.9014,Red,2,1
1.0339,2.1257,Red,2,1
1.4313,1.9023,Red,2,1
1.1968,1.8726,Red,2,1
1.7534,1.9385,Red,2,1
1.5493,1.6809,Red,2,1
1.3253,2.3212,Red,2,1
1.4638,1.9807,Red,2,1
1.6323,1.7694,Red,2,1
1.535,1.7491,Red,2,1
1.5214,2.0879,Red,2,1
1.382,2.1075,Red,2,1
1.7559,1.7073,Red,2,1
1.3326,2.1084,Red,2,1
1.647,1.893,Red,2,1
1.6636,2.2317,Red,2,1
1.4866,2.3459,Red,2,1
1.7069,2.2324,Red,2,1
1.3213,2.0442,Red,2,1
1.5164,1.8874,Red,2,1
1.5498,1.8512,Red,2,1
1.5291,1.6989,Red,2,1
1.5804,1.9568,Red,2,1
1.6081,1.9667,Red,2,1
1.4506,2.1373,Red,2,1
1.3406,1.8348,Red,2,1
1.3335,1.8839,Red,2,1
1.2672,1.498,Red,2,1
1.5281,2.2424,Red,2,1
1.7592,1.9159,Red,2,1
1.4073,1.7184,Red,2,1
1.4311,1.9055,Red,2,1
1.4391,2.0338,Red,2,1
1.8339,2.0778,Red,2,1
1.3962,1.977,Red,2,1
1.5479,1.9416,Red,2,1
1.385,2.2685,Red,2,1
1.4521,1.8643,Red,2,1
1.206,2.246,Red,2,1
1.5526,2.0248,Red,2,1
1.8268,2.0138,Red,2,1
1.6487,1.8799,Red,2,1
1.2993,2.1834,Red,2,1
1.6093,2.3752,Red,2,1
1.478,2.0265,Red,2,1
1.5179,2.1237,Red,2,1
1.5012,1.7862,Red,2,1
1.5515,1.9331,Red,2,1
1.2534,1.9614,Red,2,1
1.5185,2.1694,Red,2,1
1.2061,2.3066,Red,2,1
1.531,2.4382,Red,2,1
1.5447,2.3082,Red,2,1
1.4978,2.0895,Red,2,1
1.9044,1.9141,Red,2,1
1.5557,2.1511,Red,2,1
1.4888,2.0641,Red,2,1
1.6898,1.9282,Red,2,1
1.4397,1.7916,Red,2,1
1.8644,1.6221,Red,2,1
1.3484,1.8236,Red,2,1
1.3525,1.8038,Red,2,1
0.8622,1.9155,Red,2,1
1.4422,2.0587,Red,2,1
1.4486,1.9581,Red,2,1
1.7841,2.1402,Red,2,1
1.3853,2.0997,Red,2,1
1.4006,1.896,Red,2,1
1.311,2.1559,Red,2,1
1.8159,1.9702,Red,2,1
1.1815,2.1657,Red,2,1
1.6189,2.1784,Red,2,1
1.3733,2.1592,Red,2,1
2.6514,0.9949,Red,2,1
3.0233,0.6725,Red,2,1
2.6516,1.3036,Red,2,1
3.0032,0.6584,Red,2,1
3.3745,0.881,Red,2,1
3.1404,0.8594,Red,2,1
2.8404,0.8424,Red,2,1
2.7521,0.9181,Red,2,1
3.0966,0.9216,Red,2,1
3.1813,0.9989,Red,2,1
2.829,1.0769,Red,2,1
3.5161,0.5603,Red,2,1
3.0446,1.0154,Red,2,1
2.7713,1.141,Red,2,1
2.9275,1.1549,Red,2,1
3.0805,0.9043,Red,2,1
3.011,0.8464,Red,2,1
2.9732,1.0536,Red,2,1
3.0009,1.2927,Red,2,1
3.0886,0.8546,Red,2,1
3.6081,0.9523,Red,2,1
3.2599,0.9876,Red,2,1
3.0087,0.9413,Red,2,1
3.0594,1.1954,Red,2,1
3.2012,0.7265,Red,2,1
2.9443,1.1393,Red,2,1
3.1284,0.8378,Red,2,1
2.9368,0.5788,Red,2,1
2.8697,0.7079,Red,2,1
2.9916,1.1895,Red,2,1
2.9724,0.8333,Red,2,1
3.0726,0.8702,Red,2,1
3.0689,0.8754,Red,2,1
3.1198,1.4312,Red,2,1
2.909,0.9719,Red,2,1
3.0196,1.1979,Red,2,1
3.3518,1.0476,Red,2,1
2.8165,0.9742,Red,2,1
2.809,0.8733,Red,2,1
2.7007,0.798,Red,2,1
3.1994,0.8331,Red,2,1
2.8669,0.9954,Red,2,1
2.6138,0.9845,Red,2,1
3.1833,1.1662,Red,2,1
3.0923,0.72,Red,2,1
2.8029,0.9543,Red,2,1
2.9092,0.5975,Red,2,1
2.6318,1.0459,Red,2,1
2.6858,0.9559,Red,2,1
2.5761,1.131,Red,2,1
2.9036,0.7779,Red,2,1
3.3242,0.8675,Red,2,1
3.2606,0.9162,Red,2,1
2.8331,0.8224,Red,2,1
3.0458,1.1514,Red,2,1
3.0559,0.9914,Red,2,1
3.4017,1.1551,Red,2,1
3.1623,0.6899,Red,2,1
2.8617,0.6418,Red,2,1
3.2146,0.8488,Red,2,1
2.4092,0.996,Red,2,1
2.9122,1.0462,Red,2,1
2.8701,1.0148,Red,2,1
3.5584,1.0788,Red,2,1
2.9892,0.8338,Red,2,1
2.8875,1.3332,Red,2,1
2.903,0.9208,Red,2,1
3.0532,0.8954,Red,2,1
3.0827,1.1397,Red,2,1
3.1138,1.0706,Red,2,1
2.9778,1.13,Red,2,1
2.9028,0.9373,Red,2,1
2.8647,0.8582,Red,2,1
2.6132,1.0962,Red,2,1
2.579,0.933,Red,2,1
2.6191,1.048,Red,2,1
2.83,1.0111,Red,2,1
2.8319,0.8087,Red,2,1
2.9587,1.0436,Red,2,1
2.8951,0.9648,Red,2,1
3.078,0.9026,Red,2,1
3.1368,0.9494,Red,2,1
2.9328,0.8729,Red,2,1
3.4091,1.5458,Red,2,1
3.0326,0.9401,Red,2,1
3.0863,1.0732,Red,2,1
3.2839,0.9167,Red,2,1
2.6895,1.3182,Red,2,1
3.1595,0.8347,Red,2,1
3.1696,0.6055,Red,2,1
3.0576,1.1504,Red,2,1
3.1284,1.2259,Red,2,1
2.8546,1.0979,Red,2,1
3.1045,0.9345,Red,2,1
2.9596,1.049,Red,2,1
2.9117,0.6829,Red,2,1
2.965,0.9417,Red,2,1
3.0458,1.2589,Red,2,1
3.1506,0.8319,Red,2,1
3.0106,1.227,Red,2,1
1.4062,0.957,Blue,3,1
0.5712,0.536,Blue,3,1
1.3958,1.1596,Blue,3,1
1.2383,0.9476,Blue,3,1
1.4534,1.1867,Blue,3,1
1.4217,1.2811,Blue,3,1
1.3201,0.8331,Blue,3,1
0.9262,1.3378,Blue,3,1
0.8518,1.1185,Blue,3,1
0.5488,1.0753,Blue,3,1
0.6391,0.8513,Blue,3,1
0.9626,1.1113,Blue,3,1
0.9965,0.5809,Blue,3,1
1.1031,1.0886,Blue,3,1
0.893,0.8771,Blue,3,1
0.7754,1.2259,Blue,3,1
0.8842,0.9516,Blue,3,1
0.9121,1.2966,Blue,3,1
0.9352,1.1113,Blue,3,1
1.3968,1.0953,Blue,3,1
0.9089,1.143,Blue,3,1
1.0904,1.2193,Blue,3,1
0.9386,1.3322,Blue,3,1
1.1751,1.106,Blue,3,1
0.8964,0.9182,Blue,3,1
0.9848,1.0207,Blue,3,1
0.7671,1.264,Blue,3,1
1.054,1.1007,Blue,3,1
0.8446,0.8892,Blue,3,1
0.8362,1.3529,Blue,3,1
0.8225,0.7623,Blue,3,1
1.3762,0.9577,Blue,3,1
1.1026,1.0821,Blue,3,1
0.7603,1.0011,Blue,3,1
0.8304,0.79,Blue,3,1
0.9681,1.3229,Blue,3,1
0.9625,0.9224,Blue,3,1
1.1129,1.0055,Blue,3,1
0.8831,0.9632,Blue,3,1
1.0251,1.2259,Blue,3,1
0.7918,1.011,Blue,3,1
0.7027,1.3553,Blue,3,1
1.2287,0.948,Blue,3,1
1.2226,0.9102,Blue,3,1
1.2865,0.7814,Blue,3,1
0.908,1.2761,Blue,3,1
1.0872,0.9126,Blue,3,1
0.625,1.3781,Blue,3,1
0.8436,0.9484,Blue,3,1
0.9182,1.039,Blue,3,1
1.0409,0.8358,Blue,3,1
0.8208,0.873,Blue,3,1
1.0741,1.0239,Blue,3,1
1.0929,1.032,Blue,3,1
1.1225,1.1548,Blue,3,1
1.3871,0.7914,Blue,3,1
1.1669,1.094,Blue,3,1
1.3361,0.7437,Blue,3,1
1.1873,0.4847,Blue,3,1
0.8921,0.85,Blue,3,1
1.2735,0.9197,Blue,3,1
1.1125,0.9522,Blue,3,1
0.5853,1.2521,Blue,3,1
0.9704,0.7401,Blue,3,1
0.9882,0.9258,Blue,3,1
0.7979,0.9114,Blue,3,1
1.1384,1.2523,Blue,3,1
0.8062,1.3967,Blue,3,1
1.0636,1.1206,Blue,3,1
0.8618,0.6739,Blue,3,1
1.1595,1.0696,Blue,3,1
0.669,1.0041,Blue,3,1
0.9145,1.1959,Blue,3,1
0.9299,1.0064,Blue,3,1
0.9108,1.0657,Blue,3,1
0.7612,0.8205,Blue,3,1
1.1993,1.0159,Blue,3,1
1.0402,0.9143,Blue,3,1
0.8911,1.2295,Blue,3,1
1.3108,0.9937,Blue,3,1
1.2875,1.1968,Blue,3,1
0.697,1.3657,Blue,3,1
1.3223,0.9986,Blue,3,1
1.0484,0.6696,Blue,3,1
0.7469,1.1035,Blue,3,1
1.1696,0.9518,Blue,3,1
1.1269,1.3731,Blue,3,1
0.995,0.8038,Blue,3,1
1.1104,0.854,Blue,3,1
1.2873,1.1833,Blue,3,1
1.0878,1.0567,Blue,3,1
0.9618,0.7443,Blue,3,1
1.2378,0.9966,Blue,3,1
0.8902,0.7741,Blue,3,1
0.8632,1.1254,Blue,3,1
1.2414,1.1113,Blue,3,1
0.9604,1.2786,Blue,3,1
1.1811,0.9237,Blue,3,1
1.4636,0.9111,Blue,3,1
1.1591,0.9552,Blue,3,1
2.6221,1.9641,Blue,3,1
2.8585,2.1386,Blue,3,1
2.1657,2.0226,Blue,3,1
1.9336,1.8872,Blue,3,1
2.962,1.7094,Blue,3,1
2.2826,1.7186,Blue,3,1
2.4883,1.8968,Blue,3,1
2.4709,1.7768,Blue,3,1
2.4232,1.9839,Blue,3,1
2.432,1.9801,Blue,3,1
2.461,2.3614,Blue,3,1
2.4343,1.8613,Blue,3,1
2.803,1.8501,Blue,3,1
2.3784,1.9592,Blue,3,1
2.4553,1.996,Blue,3,1
2.2407,2.0052,Blue,3,1
2.4408,2.5125,Blue,3,1
2.7315,1.8565,Blue,3,1
2.4589,1.909,Blue,3,1
2.2819,1.8761,Blue,3,1
2.4167,1.8665,Blue,3,1
2.4055,2.2116,Blue,3,1
2.6941,1.9917,Blue,3,1
1.9024,2.0526,Blue,3,1
2.1177,2.1779,Blue,3,1
2.4142,1.8741,Blue,3,1
2.0147,2.193,Blue,3,1
2.4104,2.1491,Blue,3,1
2.5019,1.5374,Blue,3,1
2.5292,2.2257,Blue,3,1
2.3077,2.2915,Blue,3,1
2.4044,1.7964,Blue,3,1
2.377,1.9735,Blue,3,1
2.5018,2.0765,Blue,3,1
2.735,2.0578,Blue,3,1
1.9824,2.3395,Blue,3,1
2.3696,1.9055,Blue,3,1
2.2316,2.0182,Blue,3,1
2.2002,2.2302,Blue,3,1
2.5036,1.9527,Blue,3,1
2.444,2.3014,Blue,3,1
2.3876,1.9798,Blue,3,1
2.4074,2.0602,Blue,3,1
2.4235,1.9283,Blue,3,1
3.1107,1.5661,Blue,3,1
2.4333,1.6535,Blue,3,1
2.3631,1.7987,Blue,3,1
2.3597,2.032,Blue,3,1
2.3371,2.0488,Blue,3,1
2.6667,1.7906,Blue,3,1
2.5286,2.334,Blue,3,1
2.3101,1.9095,Blue,3,1
2.6984,1.8059,Blue,3,1
2.2666,1.5439,Blue,3,1
2.6366,1.9743,Blue,3,1
2.5952,1.9849,Blue,3,1
2.3912,1.694,Blue,3,1
2.5015,2.0903,Blue,3,1
2.7188,2.1757,Blue,3,1
2.2645,1.7695,Blue,3,1
2.7673,1.8024,Blue,3,1
2.7978,1.8454,Blue,3,1
2.6569,1.8716,Blue,3,1
2.5492,1.5462,Blue,3,1
2.5711,2.2416,Blue,3,1
2.4548,1.6937,Blue,3,1
2.4359,2.1545,Blue,3,1
2.2687,2.1137,Blue,3,1
2.4291,2.0773,Blue,3,1
2.385,2.0664,Blue,3,1
3.1991,1.6888,Blue,3,1
2.6122,1.9898,Blue,3,1
2.4485,2.2403,Blue,3,1
2.1114,1.8584,Blue,3,1
2.5378,1.8189,Blue,3,1
1.9684,2.0574,Blue,3,1
2.8586,2.1095,Blue,3,1
2.3003,2.1702,Blue,3,1
2.7218,2.2542,Blue,3,1
3.1079,2.4006,Blue,3,1
2.8327,1.8975,Blue,3,1
2.4458,1.9436,Blue,3,1
2.6458,1.9239,Blue,3,1
2.4744,1.9445,Blue,3,1
2.4974,1.9226,Blue,3,1
2.5396,2.1168,Blue,3,1
2.5841,2.2202,Blue,3,1
2.3203,2.1197,Blue,3,1
2.8763,1.9869,Blue,3,1
2.5822,1.8723,Blue,3,1
2.2447,1.9415,Blue,3,1
2.6981,1.8581,Blue,3,1
2.0538,2.0879,Blue,3,1
2.5225,1.9878,Blue,3,1
2.3145,2.1233,Blue,3,1
2.5267,2.0641,Blue,3,1
2.4481,2.2187,Blue,3,1
2.2133,1.9967,Blue,3,1
2.6339,2.0829,Blue,3,1
2.4538,2.1749,Blue,3,1
2.2536,-0.1455,Blue,3,1
2.1441,0.1776,Blue,3,1
2.5605,0.0785,Blue,3,1
2.3966,-0.4304,Blue,3,1
2.4654,0.0857,Blue,3,1
2.5664,-0.1649,Blue,3,1
2.9539,-0.0468,Blue,3,1
2.3084,0.1486,Blue,3,1
2.5302,0.244,Blue,3,1
2.8092,-0.0814,Blue,3,1
2.2787,-0.2059,Blue,3,1
2.4943,-0.1407,Blue,3,1
2.5253,-0.2572,Blue,3,1
2.6345,0.0959,Blue,3,1
2.3372,0.1725,Blue,3,1
2.1382,0.1577,Blue,3,1
2.5606,-0.5835,Blue,3,1
2.5436,-0.1155,Blue,3,1
2.7596,-0.1635,Blue,3,1
2.7709,-0.0151,Blue,3,1
2.2348,0.0391,Blue,3,1
2.4353,0.0856,Blue,3,1
2.3983,-0.0406,Blue,3,1
2.5661,-0.2769,Blue,3,1
2.418,0.1888,Blue,3,1
2.3838,-0.2383,Blue,3,1
2.6971,-0.0573,Blue,3,1
2.0228,0.0345,Blue,3,1
2.3274,-0.0482,Blue,3,1
2.3421,0.1854,Blue,3,1
2.6675,0.0433,Blue,3,1
2.5862,0.2002,Blue,3,1
2.7072,0.093,Blue,3,1
2.4699,-0.0364,Blue,3,1
2.1187,-0.0237,Blue,3,1
2.1082,-0.1149,Blue,3,1
2.276,-0.1202,Blue,3,1
2.4549,0.2494,Blue,3,1
2.56,-0.2202,Blue,3,1
2.2332,-0.0291,Blue,3,1
2.6823,0.2304,Blue,3,1
2.6988,-0.1465,Blue,3,1
2.4613,0.1783,Blue,3,1
2.5887,0.3304,Blue,3,1
2.6218,0.4128,Blue,3,1
2.6613,0.2375,Blue,3,1
2.3738,-0.1687,Blue,3,1
2.6547,0.2703,Blue,3,1
2.4169,0.0716,Blue,3,1
2.293,0.3013,Blue,3,1
1.8472,-0.0235,Blue,3,1
2.1752,-0.0555,Blue,3,1
2.6301,0.1821,Blue,3,1
2.2375,-0.1906,Blue,3,1
2.6513,-0.1411,Blue,3,1
2.6646,-0.1568,Blue,3,1
2.0703,-0.1528,Blue,3,1
2.6237,0.1585,Blue,3,1
2.3605,-0.5518,Blue,3,1
2.222,-0.0142,Blue,3,1
2.3398,-0.0428,Blue,3,1
2.3789,-0.0143,Blue,3,1
2.5105,0.2051,Blue,3,1
2.2671,-0.3375,Blue,3,1
2.484,0.1576,Blue,3,1
2.3149,-0.0944,Blue,3,1
1.9619,-0.1487,Blue,3,1
2.206,0.0769,Blue,3,1
2.3474,0.2094,Blue,3,1
2.165,0.2477,Blue,3,1
2.6337,-0.2432,Blue,3,1
2.1689,0.1495,Blue,3,1
2.5325,0.0445,Blue,3,1
2.4632,0.2788,Blue,3,1
2.7931,0.1445,Blue,3,1
2.3526,0.2237,Blue,3,1
2.4782,-0.144,Blue,3,1
2.6571,-0.2407,Blue,3,1
2.8951,0.2025,Blue,3,1
2.6544,-0.2146,Blue,3,1
2.7695,0.1522,Blue,3,1
2.6251,-0.1386,Blue,3,1
2.3572,-0.1398,Blue,3,1
2.8906,0.2181,Blue,3,1
2.512,-0.1413,Blue,3,1
2.6296,-0.012,Blue,3,1
2.3848,-0.0215,Blue,3,1
2.4304,-0.0107,Blue,3,1
2.7319,0.0554,Blue,3,1
2.2489,0.4169,Blue,3,1
2.2354,-0.093,Blue,3,1
2.6288,0.3029,Blue,3,1
2.4208,0.2111,Blue,3,1
2.3323,0.1343,Blue,3,1
2.3973,0.0063,Blue,3,1
2.3776,0.285,Blue,3,1
2.6432,0.2565,Blue,3,1
2.2396,-0.1214,Blue,3,1
2.4395,-0.0469,Blue,3,1
2.3741,-0.1205,Blue,3,1
