f1,f2,_class,_value,_training
0.1714,-0.2186,Green,0,1
0.513,-0.7012,Green,0,0
1.3051,-0.1081,Green,0,0
-1.2665,0.5492,Green,0,0
-0.0412,1.372,Green,0,0
-1.0469,0.9851,Green,0,0
1.4993,0.584,Green,0,1
0.4728,-0.7335,Green,0,0
1.2699,0.0719,Green,0,0
-0.4857,0.678,Green,0,0
0.5647,0.0886,Green,0,0
-0.4501,-1.5395,Green,0,0
0.4133,-0.5889,Green,0,1
0.4723,1.9209,Green,0,0
-0.2845,-0.2478,Green,0,0
-0.4626,-0.9171,Green,0,0
-0.6538,-0.7261,Green,0,0
-0.999,0.1978,Green,0,0
0.1986,-0.5757,Green,0,1
-0.4173,-1.0338,Green,0,0
-0.2358,-0.8667,Green,0,0
-0.8113,0.3157,Green,0,0
-0.7419,-0.9292,Green,0,0
-0.0785,-0.5342,Green,0,0
0.4682,-0.944,Green,0,1
-0.8043,1.5022,Green,0,0
-1.6074,1.5395,Green,0,0
1.9472,1.7337,Green,0,0
-1.6397,0.4724,Green,0,0
0.7159,0.2164,Green,0,0
-0.9279,1.6299,Green,0,1
-0.6095,0.6162,Green,0,0
-0.8829,-1.6835,Green,0,0
0.8329,-0.4187,Green,0,0
0.4382,-0.5588,Green,0,0
0.9859,-0.8379,Green,0,0
-0.0214,-0.8098,Green,0,1
-1.3973,-0.3398,Green,0,0
0.4224,1.4983,Green,0,0
0.3258,1.1767,Green,0,0
1.225,0.1728,Green,0,0
1.2666,0.8401,Green,0,0
0.6234,-0.5123,Green,0,1
1.4507,-0.1958,Green,0,0
0.8034,0.4008,Green,0,0
-0.1563,-0.3176,Green,0,0
0.0874,-0.5038,Green,0,0
1.2068,-0.312,Green,0,0
-0.0799,0.4425,Green,0,1
-0.0618,-1.7004,Green,0,0
-2.1414,-1.3107,Green,0,0
-1.3584,0.338,Green,0,0
-0.5168,2.5906,Green,0,0
-0.5363,-1.2055,Green,0,0
-0.6599,3.0671,Green,0,1
-0.9066,-1.3921,Green,0,0
-0.3373,1.3109,Green,0,0
-0.299,0.8052,Green,0,0
0.9249,-0.0046,Green,0,0
-0.075,0.9697,Green,0,0
-0.4009,0.5551,Green,0,1
1.6922,0.2287,Green,0,0
-0.6349,1.6484,Green,0,0
-1.7648,0.0465,Green,0,0
0.2519,0.6137,Green,0,0
0.6526,-1.6383,Green,0,0
-0.659,0.0298,Green,0,1
0.4397,-1.6766,Green,0,0
1.5965,-0.6807,Green,0,0
1.1035,-0.4517,Green,0,0
-0.1849,0.3039,Green,0,0
0.0113,-0.4599,Green,0,0
0.869,2.106,Green,0,1
-1.0218,-0.0667,Green,0,0
0.3608,0.1013,Green,0,0
0.4455,0.4869,Green,0,0
0.699,0.3893,Green,0,0
0.6857,2.2673,Green,0,0
-0.1631,-0.0228,Green,0,1
0.6381,-2.1304,Green,0,0
0.6816,0.2439,Green,0,0
-1.0717,0.0047,Green,0,0
-0.6282,-0.9343,Green,0,0
-0.3855,0.3961,Green,0,0
-0.3772,-0.1043,Green,0,1
0.759,-1.3785,Green,0,0
-0.5152,-2.1509,Green,0,0
0.264,-0.2128,Green,0,0
-0.0884,-1.5236,Green,0,0
0.401,0.9551,Green,0,0
0.2715,-0.461,Green,0,1
-1.5154,-1.614,Green,0,0
1.2871,0.1643,Green,0,0
0.1507,-0.0838,Green,0,0
-0.2404,0.5899,Green,0,0
-0.405,-0.7363,Green,0,0
1.9452,-1.4241,Green,0,1
-1.2657,0.4573,Green,0,0
-0.5505,-0.6844,Green,0,0
0.0988,-0.3731,Green,0,0
-1.5856,0.5939,Green,0,0
-0.0163,-0.4462,Green,0,0
1.142,-0.18,Green,0,1
-0.0738,-0.8103,Green,0,0
-0.9147,1.9398,Green,0,0
0.0967,-0.8619,Green,0,0
-0.6253,-1.0807,Green,0,0
-0.3495,-0.8968,Green,0,0
0.1152,0.4186,Green,0,1
-0.1524,-0.4872,Green,0,0
2.0913,1.0834,Green,0,0
-0.406,-2.2389,Green,0,0
-0.4813,-0.3308,Green,0,0
-0.174,0.2212,Green,0,0
-0.23,-1.4898,Green,0,1
0.092,0.2072,Green,0,0
1.3226,-0.029,Green,0,0
0.5793,0.0287,Green,0,0
-0.4374,-0.3254,Green,0,0
0.23,-0.91,Green,0,0
0.149,0.1219,Green,0,1
0.1579,-0.6665,Green,0,0
2.6075,-0.9645,Red,1,1
2.2866,-0.0357,Red,1,0
2.4375,-0.3819,Red,1,0
2.6829,0.1069,Red,1,0
2.5179,1.0187,Red,1,0
2.0255,-0.1126,Red,1,0
3.2465,0.217,Red,1,1
2.4488,0.2441,Red,1,0
1.6112,0.1465,Red,1,0
1.8352,1.0578,Red,1,0
2.0562,-0.1343,Red,1,0
2.1817,0.0374,Red,1,0
3.1738,0.7626,Red,1,1
1.6665,0.9282,Red,1,0
2.1868,0.0063,Red,1,0
2.1479,-0.396,Red,1,0
2.3144,-0.0191,Red,1,0
1.9423,0.2021,Red,1,0
3.4586,0.3614,Red,1,1
2.2718,-0.0032,Red,1,0
2.7801,0.0179,Red,1,0
2.5587,0.1397,Red,1,0
2.1452,-0.0133,Red,1,0
2.6546,0.0289,Red,1,0
2.5822,-0.7665,Red,1,1
2.9156,0.0169,Red,1,0
2.5755,-0.1565,Red,1,0
2.6009,-1.0345,Red,1,0
2.7433,-0.153,Red,1,0
2.6861,-0.4615,Red,1,0
2.1917,0.5409,Red,1,1
3.135,1.0781,Red,1,0
2.8071,-0.6136,Red,1,0
2.6856,0.0959,Red,1,0
2.5252,-0.3823,Red,1,0
1.8003,0.7893,Red,1,0
1.9148,-0.2961,Red,1,1
2.4462,-0.0548,Red,1,0
2.5226,0.044,Red,1,0
2.7248,-0.3979,Red,1,0
2.0828,0.1201,Red,1,0
2.2636,0.251,Red,1,0
2.4544,0.0595,Red,1,1
2.5526,-0.343,Red,1,0
2.5184,-0.5018,Red,1,0
3.4718,-0.1318,Red,1,0
2.8611,0.839,Red,1,0
2.5054,0.029,Red,1,0
3.29,-1.2025,Red,1,1
2.5544,-0.0288,Red,1,0
2.4865,-0.0062,Red,1,0
2.1367,-0.0508,Red,1,0
2.2226,0.443,Red,1,0
2.3728,0.0239,Red,1,0
2.6091,0.3929,Red,1,1
2.6868,1.1268,Red,1,0
2.5125,-1.0362,Red,1,0
2.3782,0.2772,Red,1,0
2.3537,-0.8182,Red,1,0
2.585,0.5566,Red,1,0
1.2382,0.5153,Red,1,1
2.291,0.5332,Red,1,0
2.5763,0.4424,Red,1,0
2.5604,-0.0687,Red,1,0
3.0288,0.3844,Red,1,0
2.0547,-0.0593,Red,1,0
2.7763,0.6432,Red,1,1
2.9741,1.3517,Red,1,0
3.5241,-0.0605,Red,1,0
2.4638,0.4656,Red,1,0
2.7844,0.0709,Red,1,0
2.796,0.4025,Red,1,0
2.2564,-0.1177,Red,1,1
2.2573,-0.3584,Red,1,0
2.5526,-0.5102,Red,1,0
2.439,-0.5198,Red,1,0
1.6325,0.0421,Red,1,0
3.094,-0.2434,Red,1,0
3.2714,-0.9794,Red,1,1
1.9006,0.5146,Red,1,0
2.8267,0.4185,Red,1,0
2.4049,-0.2376,Red,1,0
1.3133,0.2937,Red,1,0
2.7433,0.7437,Red,1,0
3.2546,0.5212,Red,1,1
2.1944,-0.0229,Red,1,0
2.4417,0.3373,Red,1,0
1.6069,0.153,Red,1,0
1.7767,-0.2703,Red,1,0
2.0276,0.062,Red,1,0
2.0659,0.0758,Red,1,1
2.2814,-0.1128,Red,1,0
3.1396,0.3273,Red,1,0
2.4986,0.7572,Red,1,0
2.3898,0.6148,Red,1,0
1.7948,-0.0076,Red,1,0
2.176,0.3533,Red,1,1
2.3539,-0.3408,Red,1,0
2.7472,0.7353,Red,1,0
2.1341,-0.9295,Red,1,0
2.8636,0.5181,Red,1,0
3.0931,-0.1156,Red,1,0
2.4817,-0.1322,Red,1,1
2.5756,0.1557,Red,1,0
2.7708,0.4856,Red,1,0
2.4836,-0.7657,Red,1,0
1.9751,0.236,Red,1,0
2.2278,-0.0234,Red,1,0
2.0799,0.6642,Red,1,1
3.0357,-0.4702,Red,1,0
2.6724,0.2631,Red,1,0
2.5059,-0.1545,Red,1,0
2.8326,0.68,Red,1,0
2.6969,-0.6483,Red,1,0
1.9202,-0.704,Red,1,1
1.779,-0.0341,Red,1,0
2.1125,0.0034,Red,1,0
1.9778,-0.1883,Red,1,0
2.5,-0.1252,Red,1,0
3.0467,0.1007,Red,1,0
2.7672,0.6865,Red,1,1
1.571,-0.5467,Red,1,0
2.4001,-0.4732,Red,1,0
2.6999,-0.3555,Red,1,0
2.8743,0.3674,Red,1,0
2.2259,0.2637,Red,1,0
2.6866,-0.6009,Red,1,1
2.0709,-0.2649,Red,1,0
2.567,0.0634,Red,1,0
1.4912,0.9286,Red,1,0
1.3689,-0.418,Red,1,0
2.0321,0.3751,Red,1,0
2.1816,0.9428,Red,1,1
2.6195,0.0193,Red,1,0
1.8422,0.4752,Red,1,0
2.3056,-0.5713,Red,1,0
2.8976,-0.3573,Red,1,0
2.5951,-0.3266,Red,1,0
3.0432,-0.4959,Red,1,1
1.8179,-0.5385,Red,1,0
2.1025,0.0146,Red,1,0
2.0739,0.8447,Red,1,0
2.0646,-0.8025,Red,1,0
2.4925,-0.6452,Red,1,0
2.586,0.4263,Red,1,1
1.603,-0.2839,Red,1,0
2.6417,-0.3014,Red,1,0
2.3206,-0.695,Red,1,0
2.9165,0.2967,Red,1,0
2.5606,0.1399,Red,1,0
2.6831,1.2067,Red,1,1
1.8736,-0.2835,Red,1,0
2.2192,0.2074,Red,1,0
2.7595,0.1352,Red,1,0
2.1049,0.5376,Red,1,0
2.114,-0.0158,Red,1,0
2.9328,-0.1863,Red,1,1
1.8055,0.6893,Red,1,0
1.768,0.7437,Red,1,0
2.7844,-1.0431,Red,1,0
3.1537,-0.0818,Red,1,0
2.9439,-0.1161,Red,1,0
2.983,-0.3322,Red,1,1
1.4518,-0.0305,Red,1,0
3.2879,0.1215,Red,1,0
2.5606,-0.6455,Red,1,0
2.5986,0.2382,Red,1,0
3.1045,-0.2036,Red,1,0
3.446,0.4989,Red,1,1
2.8611,-0.183,Red,1,0
2.4017,-0.0865,Red,1,0
1.7412,0.2433,Red,1,0
1.7625,0.151,Red,1,0
2.1237,0.3868,Red,1,0
3.201,0.1824,Red,1,1
3.0997,-0.4688,Red,1,0
2.7567,-0.2553,Red,1,0
2.7907,-0.0321,Red,1,0
3.2025,-0.0354,Red,1,0
2.6441,0.0506,Red,1,0
2.9136,-0.4999,Red,1,1
3.3393,0.8663,Red,1,0
1.7796,0.3606,Red,1,0
2.0189,0.5025,Red,1,0
2.2304,0.407,Red,1,0
1.977,-0.1874,Red,1,0
3.0302,0.3467,Red,1,1
2.9971,-0.3383,Red,1,0
2.6874,0.651,Red,1,0
2.4192,-0.2636,Red,1,0
3.6029,0.3524,Red,1,0
2.1874,0.7971,Red,1,0
2.1038,0.0565,Red,1,1
2.9931,0.2035,Red,1,0
2.009,-0.4631,Red,1,0
3.2162,0.7579,Red,1,0
2.7425,0.3854,Red,1,0
2.9978,0.2617,Red,1,0
2.3502,0.4781,Red,1,1
-1.0003,-0.5001,Red,1,1
